uri,dcterms:identifier,,ID,rdfs:label,schema:description,schema:category,description:現在の地名,description:リンク,description:備考,description:番号,schema:longitude,schema:latitude,schema:geo^^uri,xywh,schema:url,canvas,schema:relatedLink,schema:image,schema:isPartOf^^uri,description:図
http://example.org/data/10191,10191,,10191,長崎,,崎,瀬戸内町古志（私見）,https://goo.gl/maps/ugsqRzTkNdMqjDsk6,,118,,,,"14938,3803,97,57",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=14938,3803,97,57","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/14938,3803,97,57/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10192,10192,,10192,さかい崎,,崎,瀬戸内町古志、現佐栄崎,https://goo.gl/maps/LC8A1k2Wb1HMzCDx9,,119,,,,"14736,3977,123,51",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=14736,3977,123,51","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/14736,3977,123,51/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10193,10193,,10193,しよんま崎,,崎,（私見）,https://goo.gl/maps/vEqEk7qeNoAkTjYMA,,120,,,,"15010,4137,145,61",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=15010,4137,145,61","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/15010,4137,145,61/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10194,10194,,10194,宮田崎,,崎,（私見）,https://goo.gl/maps/DkBkpxTAQePYFD85A,,121,,,,"14865,4173,115,38",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=14865,4173,115,38","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/14865,4173,115,38/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10195,10195,,10195,つはく崎,,崎,瀬戸内町小名瀬、現阿丹花崎,https://goo.gl/maps/Anw8arjo6o8YzHhZ7,,122,,,,"14362,4288,129,48",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=14362,4288,129,48","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/14362,4288,129,48/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10196,10196,,10196,あだんけ崎,,崎,瀬戸内町小名瀬（私見）,https://goo.gl/maps/JZiMQaxy8ZVxAPwZ8,,123,,,,"14331,4432,159,45",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=14331,4432,159,45","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/14331,4432,159,45/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10197,10197,,10197,なん崎,,崎,瀬戸内町小名瀬（私見）,https://goo.gl/maps/FZxuCc8HiXmVNLTJA,,124,,,,"14854,4519,126,56",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=14854,4519,126,56","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/14854,4519,126,56/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10198,10198,,10198,ゆい崎,,崎,瀬戸内町油井（私見）,https://goo.gl/maps/yRuT5srzWWmuiJvn9,,125,,,,"14588,4666,109,51",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=14588,4666,109,51","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/14588,4666,109,51/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10199,10199,,10199,ゆい小嶋,,その他,瀬戸内町油井、現油井小島,https://goo.gl/maps/bpjHsDEyeoAebfj6A,,126,,,,"14385,4691,85,136",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=14385,4691,85,136","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/14385,4691,85,136/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
http://example.org/data/10200,10200,,10200,つふから崎,,崎,瀬戸内町久根津（私見）,https://goo.gl/maps/yi3QiVNYr5nfTayH6,,127,,,,"14395,4888,155,59",https://hi-ut.github.io/map/iiif/efd483100f1b1b1f8cf5781af08b6325/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=14395,4888,155,59","https://iiif.dl.itc.u-tokyo.ac.jp/iiif/tmp/hi/1.tif/14395,4888,155,59/200,/0/default.jpg",http://example.org/data/shoho-0001,正保琉球国絵図写
